ISTILAH	KEPANJANGAN	PENGERTIAN	DEPARTEMEN	CARA PERHITUNGAN DAN KETERANGAN LAINNYA ( JIKA ADA)																			
Cluster	Pengelompokan dealer	Pengelompokan dealer-dealer berdasarkan potensi dealer dan wilayah penanganan SO	Brand used car																				
CN	Cover Note	Bukti Persetujuan Asuransi telah berlaku	Fleet																				
CnC	Coaching and Conselling	Kegiatan yang dilakukan oleh atasan kepada timnya	HC TPM																				
Co-Approval	Co-Approval	Pengajuan approval kembali	Sales																				
Co-Borrower	Co-Borrower	Suami/istri dari customer	Underwriting																				
Co-Override	Co-Override	Jalur approval jika caps override habis	Sales																				
Cobra		Salah satu program boosting refund untuk dealer	Sales																				
COE	Calender Of Events	Kalender yang berisikan rencana kegiatan-kegiatan dalam kurun waktu 1 bulan	HC LM																				
COF	Cost Of Fund	Biaya modal pembiayaan	Marketing																				
COH	Cash On Hand	Dana Angsuran Cust sudah di serahkan ke ARHO 	AR																				
COO	Chief Operation Officer	Salah satu jabatan di ACC	HC OD																				
Collateral		Salah satu elemen analisa 5c yang mempertimbangkan jaminan yang dimiliki ybs yang mengikat ybs dengan leasing terkait. Jaminan yang diberikan sebagai cara untuk memperkecil resiko yang ditanggung oleh kreditur	Underwriting																				
Collection Details		Menu di dalam AOL untuk melihat history penanganan sebelumnya	AR																				
Collector		orang yang melakukan pekerjaan sebagai penagih	AR																				
Coll-Report	Collection Report	Menu di AOL untuk melihat transaksi.	AR																				
COMBAT	REMO Basic Training	Training pembekalan selama 3 haru yang di berikan kepada karyawan baru REMO, yang berisikan dasar-dasar dalam REMO management	REMO																				
Comment AR	Comment Account Recivable	Permohonan pertimbangan AR  mengenai customer yang RO/AO untuk approval	Sales																				
Comparing		Melakukan perbandingan antara satu dengan yang lain	umum																				
Competitor Intelegence		analisa competitor ( pasar, strategi, paket reward, dan segala sesuatu berita mengenai competitor untuk memantau competiitor, pangsa pasar dan dealer yang berpotensi )	Marketing Planning & Control																				
Compliance		officer mematuhi setiap aturan dan ketentuan yang diterapkan oleh management ACC dalam bekerja	Audit MCS																				
Compliance (MCS)	Compliance (Management Control System)	Standar penilaian audit terhadap kepatuhan divisi underwriting dalam mengisi MCS	Underwriting,AR, dan Service																				
COMPRE		Customer Menunggak di atas 30 hari	Fleet																				
Condition		Faktor eksternal yang mempengaruhi kemampuan debitur memenuhi kewajiban kreditnya	Underwriting																				
Coverage		Merupakan area cakupan/penanganan suatu pekerjaan	umum																				
CPRE	Close Prepayment	Unit yang kontraknya sudah selesai karena pelunasan	AR																				
CPRE		Status pembayaran saat akun telah melakukan pelunasan (prepayment) 	AR																				
CR	Counter Rate	Suku bunga dalam perjanjian kredit	Sales																				
credit amt acp 	credit amount acp	nilai asuransi acp dibayar kredit 	sales																				
CREDIT SCORE  		Menggambarkan seberapa baik kualitas  aplikasi pembiaayaan melalui skor.	Underwriting																				
credit scoring		penilaian yang diberikan kepada customer atas keterangan yang didapatkan sesuai data apliaksi 	Underwriting																				
Cremo	Credit Memo	Merupakan hasil skoring dari suatu aplikasi yang menjadi salah satu pertimbangan/bobot aplikasi layak di terima atau ditolak	Underwriting dan Sales																				
CRO	Chief Retail Operation	Salah satu jabatan di ACC	HC OD																				
Cross Collateral		Klausul yang dimaksudkan agar jaminan yang telah diserahkan oleh debitur yang diikat sesuai dengan lembaga penjaminnya yang akan mengkait ke beberapa perjanjian kredit lainnya.	AR	cust punya 2 unit di ACC, salah 1nya ditarik/CPRE namun masih ada denda pelunasan yang belum terbayar, walaupun unit 1 lagi sudah terbayar lunas, naka unit yang dibayar lunas/lancar tidak bisa ambil BPKB																			
CROSS DEFAULT		Pengikatan kontrak baru dengan kontrak yang masih berjalan	Fleet																				
Cross default		sebuah regulasi yang apabila customer multikontrak, menunggak pada salah satu kontraknya. Maka unit tidak dapat diambil sebelum tunggakan dibayar (posisi harus current). Klausul yang memberikan kewenangan bagi bank tanpa diperlukan somasi atau peringatan lagi untuk mengakhiri perjanjian kredit dengan nasabah	Operation																				
Cross Function		Penempatan karyawan ACC yang berbeda fungsi atau divisi	HC OD																				
CRP	Cost Reduction Program	Program penghematan OPEX	umum																				
CS	Cost Sheet	Tools yang digunakan untuk simulasi perhitungan kredit	Fleet																				
CSI	Customer Satisfaction Index	Suatu pengukuran kepuasan pelanggan atas pelayanan yang diberikan	Service																				
CSO	Customer Service Officer	Jabatan frontliner di cabang	Service																				
CSR	corporate social responsibility	bentuk tanggungjawab perusahaan kepada masyarakat sekitar 	CSR																				
Current		istilah account overdue yang sudah membayar	Sales																				
Customer		Setiap pihak yang perlu kita jaga tingkat kepuasaannya. (Bisa berupa dealer, maupun pihak yang mengambil kredit)	umum																				
Customer Satisfaction		Salah satu value ACC : Memberikan pengalaman terbaik bagi pelanggan melalui pelayanan yang andal dan terpercaya	Service																				
Customer WIN	Customer Walk In	Istilah yang digunakan internal ACC untuk menamakan customer-customer yang datang ke meja pelayanan ACC	Service																				
CV	Contribution Value	Selisih antara nilai revenue dikurangi dengan cost of fund	Finance	Revenue - Cost Of Fund																			
CV-	comercial vehicle 	istilah untuk mobil-mobil yang digunakan untuk usaha 	sales																				
Daftar KSJ	Daftar Kendaraan siap jual	lisf dan form kendaraan siap jual dalam lelang	AR																				
Daily update		Salah satu tools dari MCS yang dilakukan oleh BUH dengan melaporkan update berbagai issue di underwriting kepada OH	Underwriting																				
Dashboard		Tempat di bagian depan dalam interior mobil yang terdapat stir mobil, AC, radio, dan lainnya.	AR																				
Data Mandatory		Data-data minimal yang harus di kumpulkan dalam pengajuan aplikasi. Misalkan: KTP, KK, NPWP, Cover buku tabungan, PBB	Sales																				
Data Mining		Data Management atau pengurusan data, tarik data dalam setiap department	RISK MIS																				
Date Go Live		Tanggal dimana suatu pembiayaan sudah mulai aktif	Sales																				
DB OP	Disbursement On Progres	Status ketika aplikasi sudah valid dan akan dilakukan pembayaran oleh ACC	Underwriting																				
DBSFR	Dasboard System Functional Report	Papan yang digunakan sebagai laporan atas kinerja officer terhadap pencapaian KPI di departemen underwriting	Underwriting																				
DBSFR	Daily Branch Summary Functional Report	Laporan harian untuk tool monitoring yang ada di deskcoll	AR																				
DC	Desk Collection	Proses reminder terhadap account over 1-7 by phone	AR																				
DC handling	Desk Collection Handling	Jumlah account yang dihandling DC dalam sebulan	AR																				
DCC	Desk Collection Coordinator	Jabatan  coordinator DC Agent yang bertugas monitoring dan control DC Agent	AR																				
DCH	Desk Collection Head	Jabatan  yang menangani Account receivable pada bagian deskcollyang bertanggung jawan langsung kepada RODH	AR																				
DCMSO	Deputy Chief Sales & Marketing Officer	Posisi jabatan setingkat dibawah CMSO	SALES																				
DE	Data Entry	Salah satu jabatan di departemen underwriting yg bertugas melakukan input data aplikasi	Underwriting																				
Dealer due diligence		memperbaharui informasi dealer setiap setahun sekali yang berisi bentuk dealer, alamat, denah, foto dan stock	sales																				
Dealer HO 		Grup dari satu atau beberapa dealer yang berhubungan dengan ACC	Sales																				
Dealer Mars		Program ACC dalam menggrab aplikasi dengan menyediakan komputer dan printer di dealer sehingga SO dapat bersaing dengan leasing lain dalam mencari aplikasi	SALES																				
Dealer Pareto		Dealer yang memberikan kontribusi paling signifikan untuk pencapain AF maupun unit cabang, dengan kata lain ini adalah dealer backbone ACC	SALES																				
Dealer RO	Dealer Repeat Order	Cabang dari suatu grup dealer yang bekerjasama dengan ACC 	Sales																				
Debitor		Pihak yang berhutang kepada pihak lain	Operation																				
Defect 		Tidak sesuai dengan target yang seharusnya	Underwriting																				
Deffect 		kondisi dimana batas waktu untuk TTD, TTY, TTS telah melampaui batas waktu standar	Underwriting																				
Denda		Biaya muncul setiap kali  customer menunggak	AR	0,3% X angsuran x hari keterlambatan																			
Denda Saldo 0		Denda keterlambatan yang belum dilunasi customer yang sudah selesai masa tenornya sehingga BPKB customer masih tertahan di ACC	Service																				
Deskcoll ex WO	DeskColl ex Write-Off	DesskColl yang menangani customer WO	AR																				
DF	Double funding	dua atau lebih aplikasi yang sama dengan debitur yang sama 	finance																				
DIFF LM	Different Last month	Pebandingan status hari ini ke Last month	AR																				
DILO	Daily Activity Of	Laporan yang diberikan harian kepada peserta program	HC LM																				
DIRECT AAB	Direct Asuransi Astra Buana	Pembayaran asuransi AAB oleh customer langsung	Service																				
Direct Astra		produk astra yang dijual oleh dealer astra grup	Sales																				
Disdukcapil	Dinas Kependudukan dan Catatan Sipil	Salah satu suku dinas dalam pemerintahan yang bertugas terhadap administrasi WNI termasuk mengurus KTP. Sudah bekerjasama dengan ACC dalam hal berbagi bank data sehingga dapat melakukan cek status KTP WNI secara nasional.	Underwriting																				
DK	Data Keuangan	Salah satu syarat yang harus dipenuhi oleh customer untuk membuka kredit di ACC	Underwriting (SUW)																				
DK	Dalam Kota	wilayah yang berada dalam jarak kurang dari 60 Km dari kantor ACC terdekat	AR	<60 Km dari Kantor ACC terdekat																			
DKIYKD	Daftar Kendaraan Inventory Yang Akan Dijual	List daftar kendaraan tarikan yang akan dijual	AR																				
DMAIC	Define, Measure, Analyze, Improve, 	Metode yang digunakan untuk mengidentifiasi masalah, melakukan langkah perbaikan serta mengontrol langkah perbaikan tersebut	HC LM																				
DO	Delivery Order	Dokumen yang berfungsi sebagai surat perintah penyerahan barang kepada pembawa surat tersebut yaitu Dealer. 	Sales 																				
DO & DONT's		Hal yang boleh dan jangan dilakukan dalam kegiatan kantor	HC LM																				
Document Custodian		Pemiliharaan dokumen kontrak customer yang dilakukan oleh UW officer	Underwriting																				
Dokumen Mandatory A		Dokumen mandatory A yaitu Dokumen yang tidak boleh dilakukan penyimpangan atau memakai formulir penyimpangan. Contohnya FAP, FC KTP YBS, & FC KK YBS	Underwriting																				
Dokumen Mandatory B		Dokumen mandatory B yaitu Dokumen yang boleh dilakukan penyimpangan atau memakai formulir penyimpangan. Contohnya FC NPWP, FC DK, FC Slip Gaji, FC rek. Koran, FC Izin PrakteK dan FC PBB	Underwriting																				
DOMINIC	Dealer Monitoring and Fraud Indicator	Database yang dikeluarkan oleh departemen risk untuk monitoring delaer dan potensi fraud	RISK MIS																				
Double insure		mengasuransikan suatu hal secara double, contoh asuransi bangunan untuk gempa	RISK POL																				
DP	Data Printing	Salah satu jabatan di underwriting yang bertugas melakukan cetak kontrak, survey dan memo credit	HC OD																				
DP	Down Payment	Uang muka yang dibayar customer kepada dealer untuk proses kredit	Sales																				
DP CL	Documment Printing Close	Status Aplikasi yang sudah masuk / ada di buckter DP lebih dari 30 Hari	Underwriting																				
DP Chasis	Down Payment Chasis	uang muka untuk rangka kendaraan	Sales																				
DPS	Daftar Pemegang Saham	Daftar yang berisi nama pemegang saham	Operation																				
DP OP	Document Printing Open	Status ketika suatu aplikasi yang sudah approve dan sudah bisa cetak kontrak	Underwriting																				
DPHM	Daftar pengajuan harga minimum	List pengajuan harga untuk dijadikan batas bawah MRP	Service																				
DR	Di Rekomendasi	Status hasil Survei dari surveyor apabila surveyor merasa customer sanggup untuk memenuhi kewajibannya apabila diberikan kredit	Underwriting																				
DRP	Disaster Recovery Plan	Memastikan back up plan untuk setiap potensi resiko yang terjadi	RISK POL																				
DSD	Decision Support Dashboard	Dashboard yang dapat menampilkan informasi dengan detail dan summary dalam 1 tampilan yang dapat diakses secara real-time	RISK MIS																				
DSO	Daihatsu Sales Operation	Dealer direct yang bekerja sama langsung dengan ACC dalam penjualan unit daihatsu	Brand Daihatsu																				
DT APPL 	Date application 	tanggal masuk aplikasi 	Underwriting																				
DT Cancel	date cancel	tanggal pembatalan aplikasi	Underwriting																				
DUE DATE	DUE DATE	Jatuh Tempo Angsuran	AR																				
EBEK	ETIKA BISNIS &ETIKA KERJA	Pedoman perilaku	HC IR																				
Ecentrix		Suatu sistem operasi yang dipakai oleh Deskcoll untuk support kegiatan operasional.	AR																				
E-contract	Electronic Contract	Proses pelaksanaan kontrak melalui sistem elektronik yang bertujuan paper less 	Underwriting	TTD kontrak di PPJF, pernyataan dan konfirmasi, serta SP Transfer yang digunakan untuk dealer by elektronik																			
Effective Rate		Perhitungan bunga credut dengan system anuitas	Sales																				
EIS	Enterprise Information System	Sistem yang digunakan untuk melihat data-data harian semua cabang	umum																				
Eks coll	Eksternal collector	Istilah lain untuk PEOJF	AR																				
E-Link	Elink	Program Reward yang diberikan untuk karyawan ACC yang mereferensikan produk c2c financing	Sales																				
EM	Enhancement Managerial Program	Program leadership yang didedikasikan untuk menciptakan karyawan astra di level head management dari sumber karyawan yang sudah menjabat sebelumnya	HC LM																				
EOD	End of Day		AR																				
EOM	End of month		AR																				
Equity		Nilai ekuitas perusahaan	Finance																				
ER	Enhancement Reguler Program	Program leadership yang didedikasikan untuk menciptakan karyawan astra di level head management dari sumber karyawan internal	HC LM																				
ERM	Enterprise Risk Management	Bagian dari fungsi risk untuk menangani dan memanage 9 resiko yang ada di perusahaan, sesuai dengan ISO 31000	RISK POL																				
Error Rate		Salah satu KPI surveyor yang berhubungan dengan FPD. Sebesarapa besar hasil survey yang DR/TR akan menimbulkan FPP (Baik Snap maupun Compre)	Sales 																				
Etika bisnis		Pedoman perilaku antara perusahaan dengan pihak luar yang terkait pada bisnis perusahaan	HC IR																				
Etika Kerja		Pedoman perilaku antar karyawan dalam perusahaan	HC IR																				
Ex Gratia		Maskapai asuransi menolak claim asuransi yang diajukan oleh ACC, dan ACC kembali mengajukan claim tersebut (seperti naik banding)	SAL																				
Exit Interview		Interview yang dilakukan untuk officer yang mengajukan resign. Tujuannya untuk mengetahui alasan resign dan memberikan motivasi akhir, (masuk baik-baik, keluar baik-baik)	HC Recruitment																				
F3MD 	First Three Months Maintain Default	Jmlh account sukses reschedule yg masuk lagi ke bucket 8-30	Service																				
F6MD 	First Six Months Maintain Default	Jmlh account sukses reschedule yg masuk lg ke bucket 8-30	Service																				
F9PD	First 9 Payment Default	Customer overdue di 9 angsuran pertama setelah kontrak valid	sales																				
F9PD BOOKING	1st nine payment default booking	F9PD penjualan sebuah cabang yang ada di wilayah penanganan cabang booking	AR																				
F9PD HANDLING	1st nine payment default handling	F9PD yang ada dalam wilayah penanganan cabang lain	AR																				
FAB	Finance and Banking 	PIC yang mengurus keuangan cabang	Service																				
FACTORING		Pembiayaan dengan jaminan invoce	Fleet																				
Fakpol	Faktur Polisi	Bukti Pembelian Kendaraan	Underwriting																				
Faktur		Bukti sertifikat kendaraan dari ATPM	Sales																				
famday 	family day 	program kegiatan internal acc yang  diselenggarakan oleh industrial relations untuk membangun hubungan dengan cabang satu dengan yang lain 	HC IR																				
FAP	Form Aplikasi Pembiayaan	Formulir yang digunakan untuk menuliskan data pemohon pembiayaan	Sales																				
Fast Moving Unit		Unit-unit yang mudah untuk diperjualbelikan atau cepat laku di pasaran	Sales																				
FBR	Forum Betawi Rempug	Organisasi Massa yang berlatar belakang etnis/kesukuan dengan mayoritas anggotanya warga keturunan Betawi. Ketua umumnya saat ini, KH. Luthfi Hakim, MA.	REMO	Ormas																			
FC	Financing Charge	Biaya yang dikenakan terhadap peminjaman dana/kredit (bunga)	Finance																				
FEI	Form Exit Interview	Formulir yang digunakan untuk mewawancara karyawan yang akan resign	HC IR																				
Fender		Rangka mobil bagian depan atau belakang disamping panel pintu	Service																				
FGD	Focus Group Discussion	Salah satu tahapan dalam proses seleksi ACC untuk posisi LDP	HC LM																				
Fidusia		Perjanjian hutang piutang kreditor kepada debitor 	Branch																				
FIFO	First in First out	Mekanisme aplikasi dida;lam underwriting	AR																				
Filing	Filing	Proses memasukkan dokumen kontrak ke hangmap	Underwriting																				
Finansial Lease	Finansial Lease	Kegiatan sewa guna usaha dimana lease pada akhir tenor mempunyai hak opsi untuk membeli objek SGU.	Sales 																				
FIRAL	Fortuner Inova Rush Alpard	Singkatan yang dibuat oleh ACC untuk menyebutkan unit- unit dari Brand Toyota dengan jumlah AF yang besar.	Sales 																				
First Line		Jenis program LDP yang diikuti oleh officer ACC untuk menjadi level coordinator di ACC	HC LM																				
fishbone	fishbone 	metode pencarian masalah 	HC LM																				
Flag B/C	Flag Banker Close	Flag aplikasi jika customer memakai asuransi eksternal (Diluar maskapai asuransi yang bekerja sama dengan ACC)	Sales 																				
Flag Int	Internal	Flag aplikasi jika customer memakai asuransi internal (AAB, ABDA, dan RAMAYANA)	Sales 																				
Flag PB		Flag aplikasi untuk unit Commercial	Sales 																				
Flag PT		Flag aplikasi untuk unit Passanger	Sales 																				
Flag Segmen	Flag Segmen	Segmentasi di departemen AR Management dalam bentuk warna (red, yellow, green, black) berdasarkan history wilayah penanganan	AR																				
Flat Rate		Bunga yang diberikan stabil dari awal sampai dengan akhir angsuran	Sales																				
FLDP	First Line Development Program	Program leadership yang didedikasikan untuk menciptakan karyawan astra di level coordinator management dari sumber karyawan internal	HC LM																				
Flg_Bad		Flag 1 jika kontrak pernah masuk inventory atau writeoff	RISK MIS																				
Flg_Bad30		Flag 1 jika kontrak pernah masuk inventory atau writeoff atau pernah menunggak lebih dari 30 hari	RISK MIS																				
Flg_Bad60		Flag 1 jika kontrak pernah masuk inventory atau writeoff atau pernah menunggak lebih dari 60 hari	RISK MIS																				
Flg_Bad90		Flag 1 jika kontrak pernah masuk inventory atau writeoff atau pernah menunggak lebih dari 90 hari	RISK MIS																				
FLOATING	Bunga Floating	Perubahan bunga pada periode tertentu	Sales																				
FOC	Fraud Oversight Committee	Komite yang bertugas untuk mengawasi dan menetapkan kebijakan penanganan fraud yang terjadi di perseroan secara menyeluruh serta menyampaikan laporan, usulan dan rekomendasi kepada perusahaan.	Fraud Risk Management (FRM)																				
FORKABI	Forum Komunikasi Anak Betawi	Organisasi Massa yang berlatar belakang etnis/kesukuan dengan mayoritas anggotanya warga keturunan Betawi. Ketua umumnya saat ini, H. Nachrowi Ramli.	REMO	Ormas																			
Form A	Formulir A	Mobil CBU yang diimport sudah bayar pajak dan bea masuk, selanjutnya tinggal urus BPKB dan STNK	Sales																				
Form B	Formulir B	Mobil CBU yang di import belum bayar pajak maupun bea masuk	Sales																				
Form C	Formulir C	Mobil CBU yang sudah punya Form B, setelah bayar pajak maupun bea masuk akan mendapatkan Form C	Sales																				
Form Negatif Info		Form yang digunakan untuk proses approval negatif info aav yang nantiny akan diajukan berdasarkan level approvalnya dan kasusnya	Underwriting																				
Form Request MRP		Formulir yang digunakan untuk merequest MRP Used Car	SALES																				
FPA	Forum Pemuda Aceh	Organisasi Massa yang berlatar belakang etnis/kesukuan dengan mayoritas anggotanya warga keturunan Aceh. Ketua umumnya saat ini, Sudirman.	REMO	Ormas																			
FPGU	Form permohonan AGU	form pengajuan pergantian unit	Service																				
FPI	Front Pembela Islam	Organisasi Massa dengan latar belakang keagamaan terutama agama Islam. Saat ini diketuai oleh Al-Habib Muhammad Rizieq bin Husein bin Syihab, Lc.MA.	REMO	Ormas																			
FPPD	Forum Persatuan Pemuda Dayak	Organisasi Massa yang berlatar belakang etnis/kesukuan dengan mayoritas anggotanya warga keturunan Dayak. Saat ini diketuai oleh Marcelius Daniar.	REMO	Ormas																			
FPPK	Form Permohonan Penambahan Karyawan (online)	Form online ( bisa di request di oracle) yang digunakan untuk request penambahan karyawan biasanya di cabang.	HC LM																				
FPR	Form permohonan rescheduling	Form proses pengajuan rescheduling	Service																				
Fraud		Penyelewengan dana	Compliance																				
Fraud		Merupakan perbuatan curang, ilegal, atau bahkan melawan hukum yang di lakukan oleh sekumpulan orang untuk kepentingan sekelompok orang atau lebih	HC IR																				
Freight Forwarder		perijinan pelabuhan	Fleet																				
FSC	Field Survey Coordinator	koordinator surveyor di survey Centro	Surveyor																				
FSC	Field Survey Coordinator	Jabatan coordinator di bangian survey yang berfungsi untuk monitoring bucket surveyordan melakukan pendistribusian order survey ke bucket surveyor	Surveyor																				
FSMP	Forum Satria Mandiri Palembang	Organisasi Massa yang awalnya berdiri dengan latar belakang komunitas bela diri pencak silat. Ormas ini diketuai oleh Nasrul.	REMO	Ormas																			
FTK	Form Taksasi kendaraan	Form yang digunakan untuk melakukan taksasi kendaraan used car	Sales																				
FU	Follow Up	Tindak lanjut dari ARHO setelah melakukan kunjungan	AR																				
GA	General Affair 	bertugas untuk mengurus dan memaintain sarana dan prasarana yang ada di ACC 	GA																				
Gapok	Gaji Pokok	Gaji utama yang diterima karyawan sebelum ditambah dengan tunjangan-tunjangan dan dipotong pajak	HC PCBM																				
General Officer		pihak-pihak yang membantu kegiatan operasional cabang	Service																				
GERDAYAK GPDI	Gerakan Adat Dayak Gerakan Pemuda Dayak Indonesia	Organisasi Massa yang berlatar belakang etnis/kesukuan dengan mayoritas anggotanya warga keturunan Dayak. Saat ini diketuai oleh Onno Nono.	REMO	Ormas																			
GetComm	Getting Commitment	Acara tahunan untuk lv top management dan leader ACC	CSCO																				
GIS	Geographic Information System	Merupakan informasi yang didapat dari pemetaan suatu lokasi seperti demografi, market share, dll	Marketing Planning & Control																				
Gl/OP	Go Live Open	Aplikasi siap divalidasi atau di go live	Underwriting																				
GMPU	Grand Max Pick Up	Salah satu jenis mobil	Sales																				
GO Live	GO Live	istilah yang menyatakan bahwa proses persetujuan kredit sudah selesai dan selanjutnya meminta finance untuk membayar AP	Underwriting																				
Golden Trivia		Program reward TRIP/GOLD untuk SPV dan Salesman Dealer Auto 2000	SALES																				
goodcust	good customer	status cust dalam keadaan pembiayaan yang bagus	RISK MIS																				
GOR	Gain On Reposess	Keuntungan ketika unit ditarik dan dijual	Fleet	Nilai inventory-harga jual- biaya rekondisi - biaya yang lainnya. Terjadi jika nilai jual < biaya lelang																			
GRACE PERIOD	Grace Period	periode dimana customer hanya membayarkan bunga	Sales																				
GRADING	Grading	Penentuan tingkat resiko dari aplikasi	Fleet Underwriting																				
Grading Agent		Level Agen Flexi ACC dalam program reward ACC Multibonus	SALES																				
GRIB	Gerakan Rakyat Indonesia Baru	Merupakan organisasi massa yang dibentuk dan disponsori oleh Prabowo Subianto. Saat ini diketuai oleh Hercules Rosario Marshal.	REMO	Ormas																			
GROSS LOSS BOOKING		GROSS LOSS penjualan sebuah cabang yang berada di wilayah penanganan cabang lain	AR																				
GROSS LOSS HANDLING		GROSS LOSS yang ada di wilayah penanganan cabang sendiri	AR	NCI - (WO + LOR)																			
Guarantee Letter	Guarantee Letter	Surat pernyataan dari perusahaan tempat WNA calon customer ACC bekerja yang menyatakan bahwa pembayaran angsuran hingga lunas akan dilakukan oleh perusahaan tersebut jika individu lalai membayarnya.	Service																				
Guarantor	Penjamin kredit	Orang yang bersedia menjamin hutang kreditur ke debitur	Underwriting																				
GVW	Gross Vehicle Weight	berat kotor kendaraan	RCCA																				
handling		Adalah jumlah account dalam 1 wilayah penanganan cabang	AR																				
Handling 31-60		jumlah handling 31-60 dalam sebulan	AR																				
Handling 8-30		jumlah handling 8-30 dalam sebulan	AR																				
Hangmap		Map berwarna hijau yang digunakan untuk menyimpan dokumen kontrak	Underwriting																				
Hard Reschedule		perubahan isi kontrak yang menjebabkan meningkatnya resiko kredit dikarenakan penundaan pembayaran angsuran,perpanjang tenor,penambahan Pokok Hutang,Pengunduran Jatuh Tempo,Penambahan total AR,Penambahan besar angsuran per bulan	Service																				
HE	Heavy Equipment	Segmentasi bisnis alat berat	Fleet																				
Hiden Account		Account-account yang tersembunyi saat pembayaran jatuh tempo di tanggal yang tidak ada pada bulan tsb. Seluruh account yang aman jika diterima bayar 1 angsuran di akhir bulan, karena dia tidak akan masuk di aging mati bal >7 pada bulan tersebut.	AR	Contoh: Tanggal pembayaran cust. A setiap tanggal 31, jadi pada bulan februari/bulan yang hanya ada 30 hari tidak akan terbaca dan menjadi hiden acc.																			
High Level Proses		garis besar dalam suatu proses yang terjadi	HC LM																				
History Scoring		Penilaian sebelumnya dari analisa komite kredit terhadap satu aplikasi kredit	Underwriting (SUW)																				
HO	Head Office	Kantor Pusat Astra Credit Companies yang terletak di Jl. TB Simatupang No. 90 Jakarta Selatan	HC OD																				
HRD	High Resume Data	Data pelengkap yang harus diisi oleh SUW. Meliputi co borrower, Bank Acount, Guarantor, Emergency Contact.	Sales 																				
HRD	human resorce department	divisi yang menangani segala macam tentang karyawan	Sales																				
IC	Internal Control	Suatu tools yang digunakan oleh ACC untuk memonitor dan mengevaluasi kinerja officer supaya tetap in line dengan goals perusahaan	HC OD																				
IDEA	Identification, Define, Explore , Action	Suatu Metode Improvement 	HC LM																				
IDP	Individual Development Plan 	dokumen yang berisikan rencana pengembangan kompetensi dan karakter seseorang.	HC TPM	"Kekuatan dan area pengembangan, bersumber dari People Review, Assessment, dan Performance Appraisal
Aspirasi karyawan
Arahan Atasan sesuai kebutuhan bisnis dan ICP
Rencana Pengembangan
Development action dan Result
Catatan hasil atau kemajuan yang dicapai"																			
IF	Inventory Financing	Salah satu fasilitas yang ditawarkan ACC kepada dealer Used Car dengan menitipkan sejumlah BPKB dan mendapat pinjaman dana sebagai gantinya. Biasanya digunakan untuk melakukan pembelian mobil lelang.	Sales																				
IGIS	Integrated Geographical Information system	Informasi  ditampilkan secara  terintegrasi bereferensi geografis yang terhubung dengan database perusahaan serta dapat diakses secara real-time	RISK MIS																				
IJON		subsidi delaer dan ikatan perjanjian kerjasama tertentu	Marketing Support																				
i-jual	intersert jual	Bunga jual/usulan ACC, bunga yang dibebankan kepada customer	SALES																				
IK	Instruksi Kerja	Aturan yang mengatur hal teknis pekerjaan	HC OD																				
IKAR	Ikatan Karyawan ACC	Organisasi yang mewadahi kebersamaan antar kayawan ACC	HC IR																				
IKBB	Ikatan Keluarga Besar Betawi	Organisasi Massa yang berlatar belakang etnis/kesukuan dengan mayoritas anggotanya warga keturunan Betawi. Ketua umumnya saat ini Mahmud Buyuzar.	REMO	Ormas																			
IKD	Imcompletely Knock Down	Mobil yang di import tidak lengkap, dibuat dan dirakit di dalam negri	Sales																				
IKM	Ikatan Keluarga Madura	Organisasi Massa yang berlatar belakang etnis/kesukuan dengan mayoritas anggotanya warga keturunan Madura. Muhammad Rawi.	REMO	Ormas																			
IKMS	Ikatan Keluarga Minang Saiyo	Organisasi Massa yang berlatar belakang etnis/kesukuan dengan mayoritas anggotanya warga keturunan Minang. Ketua umumnya saat ini, Yunasril Anga.	REMO	Ormas																			
ILC	Inventory Legal Case	Penarikan unit yang terkait dengan kasus hukum	AR																				
IM	Internal Memorandum	Surat edaran sebagai panduan di level eksekutif hingga turunannya	Fleet																				
Improvement		Project yang diberikan kepada program JLDP dan Firstline	HC LM																				
IMTA	Izin Menggunakan Tenaga Kerja Asing	IMTA merupakan dokumen wajib bagi tenaga kerja asing yang bekerja di Indonesia dalam kegiatan penanaman modal, baik oleh perusahaan asing maupun dalam negeri. Berlaku satu tahun dan dapat diperpanjang. Menjadi salah satu dokumen wajib bagi WNA yang bekerja dalam bidang usaha tersebut yang ingin menjadi customer ACC.	Service																				
in		Jumlah Account yg masuk ke bucket	AR																				
INC_GROSS	Income Gross	pendapatan kotor customer	Sales																				
INC_NET	Income Net	Pendapatan bersih customer	Sales																				
INC_Ratio	Income Ratio	rasio angsuran terhadap saing	Sales	angsuran/saving																			
incentive	incentive	bonus yang diberikan kepada seseorang atas suatu pencapaian 	HC PCBM																				
Indirect Astra	Indirect Astra	produk astra yang dijual oleh dealer non astra grup	Sales																				
Indisipliner		Pelanggaran tata tertib dan aturan kedisiplinan yang diatur dalam Peraturan Perusahaan dan/atau Perjanjian Kerja, baik yang dilakukan secara disengaja maupun tidak.	HC IR	"1. Absensi (terlambat masuk kerja, mangkir).
2. Menolak perintah atau penugasan yang layak dari atasan 
3.Memberikan keterangan/data/informasi yang tidak benar dengan keadaan yang sebenarnya.
"																			
Indo Arsip		Pihak eksternal yang membantu penyimpanan dokumen kontrak apabila BPKB customer telah diambil	Underwriting																				
Initiate		Menginisiasi pembayaran customer yang mengalami overdue sebelum penyetoran angsuran ke teller	AR																				
